N° officiel,Établissement,Ville,Filières de formation,Titres délivrés,Source,Année / édition,Note
49,BURKINA INSTITUTE OF TECHNOLOGY,GAOUA,,,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
50,INSTITUT SUPERIEUR DES ETUDES D’INGENIEURS ET DE TECHNOLOGIES,GAOUA,"BAC + 2 : Finance Comptabilité
- Génie Civil
-
Licence : Ge tion de  Projet
- Génie Civil
-
BAC + 2 : Tran port et Logi tique
- Communication d’Entrepri e
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
51,HAUTES ETUDES TECHNOLOGIQUES ET COMMERCIALES,OUAGADOUGOU,"- Financière Ge tion Commerciale
-
Licence profe ionnelle : Tran port et Logi tique
- Marketing Vente
- L Communication d’Entrepri e et
- Publicité Technique  Comptable  et
- Financière Sy tème Ré eaux et
- Télécommunication Ge tion de  Entrepri e  et
- Organi ation
DES : Marketing Management
- Communication
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
52,INSTITUT AFRICAIN DE SANTE PUBLIQUE,OUAGADOUGOU,"-
Ma ter : Epidémiologie et Bio tati tique
- Planification et Management de
- Service  et de  Programme  de Santé Nutrition et Santé Publique
- Economie de la Santé
- Santé Publique
-
Licence Professionnelle :",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
53,"ECOLE SUPERIEURE DES SCIENCES SOCIALES, HUMAINES ET DE MANAGEMENT",OUAGADOUGOU,"- L
Ingénierie de la formation
- Planificateur et Ge tionnaire de
- Sy tème  Educatif
Ma ter Profe ionnelle : Science  de l’Education
-
Ingénierie de la formation
- Planificateur et Ge tionnaire de
- Sy tème  Educatif
Ma ter de Recherche : Science  de l’Education
-
Ingénierie de la formation
- Planificateur et Ge tionnaire de
- Sy tème  Educatif",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
54,INSTITUT DES SCIENCES TECHNIQUES ET DE MANAGEMENT,OUAGADOUGOU,"-
Licence : Management de Projet
- L Finance Comptabilité
- Marketing et Ge tion
- Tran port et Logi tique
- Ge tion de  Re ource
- Humaine
Ma ter : Management de Projet
- Comptabilité Contrôle et Audit
- Marketing et Stratégique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
55,ECOLE SUPERIEURE DES TECHNIQUES AVANCEES,OUAGADOUGOU,"- du Cycle de  Marché Ge tion de  Re ource
- Humaine
BAC + 2 : Génie Electronique et
- Informatique Indu triel Ré eaux Informatique  et
- Télécommunication Finance Comptabilité
- Génie Civil
- Sy tème d’Information et Ré eau
- Tran port et Logi tique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
56,INSTITUT SUPERIEUR PRIVE DES SCIENCES,OUAGADOUGOU,"- Commerciale Electro-Biomédical
- Sy tème d’Information et Ré eau
- Electromécanique
-
Ma ter : Electronique et Automati me
- Indu triel Ré eaux Informatique  et
- Télécommunication Comptabilité Contrôle et Audit
- Génie Biomédical
- Sécurité de  Sy tème
- d’Information Ingénieur : Electromécanique
-
BAC + 2 : Génie Minier
- Génie Civil
- Finance Comptabilité
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
57,INSTITUT POLYTECHNIQUE PRIVE SHALOM,OUAGADOUGOU,"-
Licence Profe ionnelle : Agroéconomie
- L Science  juridique  et Politique
- Communication journali me
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
58,INSTITUT SUPERIEUR AFRIQUE TALENTS,OUAGADOUGOU,"- Tran it Tran port logi tique
- Banque Micro finance
- Communication d’Entrepri e
- Secrétariat et Bureautique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
59,ECOLE SUPERIEURE DE TOURISME ET D’HOTELLERIE,OUAGADOUGOU,"BAC + 2 : Touri me et Hôtellerie
- Tran port et Logi tique
-
Licence : Touri me et Hôtellerie
-
BAC + 2 : Finance  Comptabilité
- Marketing et Ge tion
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
60,INSTITUT INTERNATIONAL DES SCIENCES ET TECHNOLOGIES,OUAGADOUGOU,"- Agriculture
- Génie Biomédical
-
Licence : Finance  Comptabilité
- Marketing et Ge tion
- Commerciale Nutrition Humaine et Diététique
- Technicien Supérieur de Santé
-
Ma ter : Comptabilité, Contrôle, Audit
- Marketing et Ge tion
- Commerciale Ge tion de  Re ource
- Humaine Ge tion de  Projet
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
61,ECOLE SUPERIEURE POLYTECHNIQUE DE LA JEUNESSE,OUAGADOUGOU,"- Commerciale Topographie
- Bâtiment  et Travaux Public
-
Licence : Bâtiment  et Travaux Public
- Topographie
- Mine  et Carrière
- Ge tion et Maîtri e de l’Eau
- Finance Comptabilité
- Hydrogéologie
- Aménagement du Territoire
-
Ma ter : Bâtiment  et Travaux Public
- Topographie
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
62,INSTITUT DES SCIENCES ET TECHNIQUES DE L’INFORMATION DOCUMENTAIRE,OUAGADOUGOU,"- Ge tion et Maîtri e de l’Eau
- Géotechnique
- Infra tructure
-
BAC + 2 : Bibliothécaire – Archivi te  –
- Documentation
Licence Profe ionnelle : Ge tion de l’Information L
- Documentaire",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
63,ECOLE SUPERIEURE DU GENIE RURAL ET DE L’ENVIRONNEMENT,OUAGADOUGOU,"-
Ma ter : Génie de l’Eau et de
- l’Environnement",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
64,INSTITUT EN MANAGEMENT ET TRAINING,OUAGADOUGOU,"-
BAC + 2 : Marketing et Ge tion
- Commerciale
Licence Profe ionnelle : Sy tème d’Information
- Géographique pour",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
65,CENTRE AFRICAIN DE RECHERCHE SCIENTIFIQUE ET DE FORMATION,OUAGADOUGOU,"- Logiciel Admini tration et Sécurité de
- Ré eaux Stati tique  et Informatique
- Appliquée  au Marketing Marketing et Action
- Commerciale Science de Ge tion
-
Ma ter : Science  et Economie de
- Changement  Climatique Science  et Ge tion de
- l’environnement",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
66,INSTITUT SUPERIEUR PRIVE DE PHILOSOPHIE/MAISON LAVIGERIE,OUAGADOUGOU,-,,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
67,AFRICA PRIVATE INSTITUTE OF SCIENCE AND TECHNOLOGY,OUAGADOUGOU,"Ma ter : Comptabilité,Contrôle, Audit
- Marketing et Ge tion
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
68,INSTITUT SUPERIEUR D’INNOVATION EN GESTION ET MANAGEMENT,OUAGADOUGOU,"BAC + 2 : Finance Comptabilité
- Marketing et Ge tion
- Commerciale Secrétariat de Direction
- Bureautique
Licence :",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
69,APIDON ACADEMY OF SCIENCE,OUAGADOUGOU,"- Bilingue  péciali é
Ma ter : Suivi Evaluation
- Sociométrie
- Management de l’Environnement
- Ingéniorat : Stati tique de Ge tion
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
70,ECOLE SUPERIEURE DES TRAVAUX PUBLICS DE OUAGADOUGOU,OUAGADOUGOU,"BAC + 2 : Bâtiment et Travaux Public
- Topographie
-
Licence Profe ionnelle : Bâtiment et Travaux Public  L
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
71,INSTITUT DE DEVELOPPEMENT EQUITABLE,OUAGADOUGOU,"BAC + 2 : Agriculture
- Touri me
- Agroalimentaire
- Elevage
-
BAC + 2 :",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
72,ECOLE SUPERIEURE INTERNATIONALE DE MANAGEMENT,OUAGADOUGOU,"- Banque et Micro-finance
- Secrétariat de Direction
- Bureautique Marketing et Ge tion
- Commerciale Finance Comptabilité
-
Licence : Ge tion de  Projet
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
73,INSTITUT DES SCIENCES POUR L’ENTREPRISE ET LA GESTION,OUAGADOUGOU,"- Finance Comptabilité
-
BAC + 2 : Finance Comptabilité
- Actuariat
- Marketing et Ge tion
- Commerciale Secrétariat de Direction
- Bureautique",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
74,INSTITUT INTERNATIONAL DE MANAGEMENT,OUAGADOUGOU,"BAC + 2 : Finance Comptabilité
- Marketing et Ge tion
- Commerciale Communication d’Entrepri e
- Tran port et Logi tique
-
Licence : Ge tion de  Re ource
- Humaine Ge tion de  Projet
- Audit et Finance  de  Entrepri e
- Tran port et Logi tique
- Communication Marketing
- Management de  Entrepri e
- Management et Droit de
- Affaire
Ma ter : Ge tion de  Projet
- Communication Marketing
- Audit et Finance  de  Entrepri e
- Ge tion de  Re ource
- Humaine Tran port et Logi tique
- Management de  Entrepri e
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
75,ECOLE SUPERIEURE PRIVEE DE MICROFINANCE,OUAGADOUGOU,"- Marketing et Ge tion
- Commerciale Sy tème d’Information et
- Ré eaux Mine  et Carrière
-
Licence : Science et Technique
- Comptable Banque Microfinance
- Marketing Communication
- Ge tion de  Re ource
- Humaine Ge tion de  Projet
-
Master :",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
76,ECOLE SUPERIEURE PRIVEE EN DIRECT,OUAGADOUGOU,"- Marketing Communication
- Ge tion de  Re ource
- Humaine Ge tion de  Projet
-
BAC + 2 : Marketing Management
- Banque
- Touri me Hôtellerie
- Ge tion Commerciale
- Management Qualité Hygiène
- Sécurité Environnement",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
77,ECOLE SUPERIEURE DE COMMERCE ET D’INFORMATIQUE DE GESTION BOBO-DIOULASSO,BOBO-DIOULASSO,"- Génie Civil
- Génie Indu triel
- Communication d’Entrepri e
- Ge tion de  Collectivité
- Territoriale Tran port et Pre tation
- Logi tique Management Qualité Hygiène
- Sécurité Environnement Informatique Ré eaux
- Télécommunication
BAC + 2: Ge tion Commerciale;
- Marketing Management;
- Finance Comptabilité;
- Banque.
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
